"patient_id","cell_type","n_cells","gln_score","ifng_score","curated_gln_score","curated_ifng_score","gln_detected","ifng_detected"
"Tumor 89","Malignant",98,0.229075140985593,-0.234643231306607,0.200832866151396,-0.109414334647594,0.333333333333333,0.434782608695652
"Tumor 89","T cell",201,-0.195536928303136,0.139148267429521,-0.291324834443139,0.0188854232654176,0.0952380952380952,0.478260869565217
"Tumor 89","NK cell",1,0.145365565441326,-0.222099475437073,-0.188260323097555,-0.0480889354077949,0.142857142857143,0.304347826086957
"Tumor 89","B cell",106,-0.224677321340531,-0.208207337322423,-0.270912197282945,-0.0903382980181482,0.0952380952380952,0.347826086956522
"Tumor 89","Macrophage",26,-0.0392459610943692,0.628219698045064,-0.0717152666392041,0.59615750169787,0.19047619047619,0.630434782608696
"Tumor 89","Endothelial",1,0.298442950825631,-0.109594146921716,0.633526381759528,-0.00432966932004859,0.19047619047619,0.391304347826087
"Tumor 94","Malignant",10,-0.0343892393365129,-0.551363957666422,-0.162074136772293,-0.234385280164973,0.166666666666667,0.304347826086957
"Tumor 94","T cell",126,-0.158849277688177,-0.0420329928275632,-0.178080575808088,-0.0892762011467655,0.142857142857143,0.478260869565217
"Tumor 94","NK cell",1,-0.23173396682512,0.0636090279498393,-0.202590258312691,0.0489699811618792,0.0952380952380952,0.565217391304348
"Tumor 94","B cell",64,-0.175929606599887,-0.206966238021873,-0.209991814502379,-0.0735575275844327,0.0952380952380952,0.391304347826087
"Tumor 94","Macrophage",2,0.123949596581518,0.186399349674982,0.282823791097796,0.283612912247699,0.238095238095238,0.521739130434783
"Tumor 94","Endothelial",19,0.159802045107582,-0.112833192900322,0.181473589017068,0.139779822090237,0.19047619047619,0.391304347826087
"Tumor 94","CAF",15,0.0513090255919972,-0.07066062178149,-0.0554965752013023,0.175330323117797,0.19047619047619,0.347826086956522
